name,country,rank,ranking_band,competitiveness,avg_tuition_usd
"International Institute of Information Technology, Hyderabad",India,783,300+,VERY_LOW,20000
Bahauddin Zakariya University,Pakistan,784,300+,VERY_LOW,20000
Harbin Engineering University,China,785,300+,VERY_LOW,20000
University of Brighton,United Kingdom,786,300+,VERY_LOW,30000
Jazan University,Saudi Arabia,787,300+,VERY_LOW,20000
University of Rennes 1,France,788,300+,VERY_LOW,20000
University of Toledo,United States,789,300+,VERY_LOW,40000
Yıldız Technical University,Turkey,790,300+,VERY_LOW,20000
Rochester Institute of Technology,United States,791,300+,VERY_LOW,40000
University of Lahore,Pakistan,792,300+,VERY_LOW,20000
University of Derby,United Kingdom,793,300+,VERY_LOW,30000
Nanjing Tech University,China,794,300+,VERY_LOW,20000
American University in Cairo,Egypt,795,300+,VERY_LOW,20000
Universidade Federal do Rio Grande do Sul,Brazil,796,300+,VERY_LOW,20000
Kafrelsheikh University,Egypt,797,300+,VERY_LOW,20000
Alborz University of Medical Sciences,Iran,798,300+,VERY_LOW,20000
Beirut Arab University,Lebanon,799,300+,VERY_LOW,20000
"University of Veterinary and Animal Sciences, Lahore",Pakistan,800,300+,VERY_LOW,20000
Qazvin University of Medical Sciences,Iran,801,300+,VERY_LOW,20000
University of Delhi,India,802,300+,VERY_LOW,20000
Ohio University (Main campus),United States,803,300+,VERY_LOW,40000
Isra University (Jordan),Jordan,804,300+,VERY_LOW,20000
Chang Gung University,Taiwan,805,300+,VERY_LOW,20000
Bharathiar University,India,806,300+,VERY_LOW,20000
Baylor University,United States,807,300+,VERY_LOW,40000
Qassim University,Saudi Arabia,808,300+,VERY_LOW,20000
Fuzhou University,China,809,300+,VERY_LOW,20000
"University of Engineering and Technology, Taxila",Pakistan,810,300+,VERY_LOW,20000
Kurdistan University of Medical Sciences,Iran,811,300+,VERY_LOW,20000
William & Mary,United States,812,300+,VERY_LOW,40000
Northeast Agricultural University,China,813,300+,VERY_LOW,20000
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,814,300+,VERY_LOW,20000
Jönköping University,Sweden,815,300+,VERY_LOW,20000
Future University in Egypt,Egypt,816,300+,VERY_LOW,20000
Birjand University of Medical Sciences,Iran,817,300+,VERY_LOW,20000
"Birla Institute of Technology and Science, Pilani",India,818,300+,VERY_LOW,20000
Oxford Brookes University,United Kingdom,819,300+,VERY_LOW,30000
Shahroud University of Medical Sciences,Iran,820,300+,VERY_LOW,20000
Jawaharlal Nehru University,India,821,300+,VERY_LOW,20000
Leeds Beckett University,United Kingdom,822,300+,VERY_LOW,30000
National Technical University of Athens,Greece,823,300+,VERY_LOW,20000
Jordan University of Science and Technology,Jordan,824,300+,VERY_LOW,20000
RUDN University,Russian Federation,825,300+,VERY_LOW,20000
Kerman University of Medical Sciences,Iran,826,300+,VERY_LOW,20000
University of Jaén,Spain,827,300+,VERY_LOW,20000
Robert Gordon University,United Kingdom,828,300+,VERY_LOW,30000
Rafsanjan University of Medical Sciences,Iran,829,300+,VERY_LOW,20000
Panthéon-Sorbonne University – Paris 1,France,830,300+,VERY_LOW,20000
Abdul Wali Khan University Mardan,Pakistan,831,300+,VERY_LOW,20000
National Autonomous University of Mexico,Mexico,832,300+,VERY_LOW,20000
Cankaya University,Turkey,833,300+,VERY_LOW,20000
Urmia University,Iran,834,300+,VERY_LOW,20000
University of Tunis El Manar,Tunisia,835,300+,VERY_LOW,20000
Southwest Jiaotong University,China,836,300+,VERY_LOW,20000
Northeast Normal University,China,837,300+,VERY_LOW,20000
Southern Illinois University Carbondale,United States,838,300+,VERY_LOW,40000
Nanjing Normal University,China,839,300+,VERY_LOW,20000
Nanjing Medical University,China,840,300+,VERY_LOW,20000
University of Seville,Spain,841,300+,VERY_LOW,20000
University of Namur,Belgium,842,300+,VERY_LOW,20000
Istanbul Medipol University,Turkey,843,300+,VERY_LOW,20000
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,844,300+,VERY_LOW,20000
University of Management and Technology,Pakistan,845,300+,VERY_LOW,20000
Cairo University,Egypt,846,300+,VERY_LOW,20000
Guru Gobind Singh Indraprastha University,India,847,300+,VERY_LOW,20000
University of Indonesia,Indonesia,848,300+,VERY_LOW,20000
National Institute of Applied Sciences of Lyon (INSA Lyon),France,849,300+,VERY_LOW,20000
Guilan University of Medical Sciences,Iran,850,300+,VERY_LOW,20000
University of Salford,United Kingdom,851,300+,VERY_LOW,30000
Empress Catherine II Saint Petersburg Mining University,Russian Federation,852,300+,VERY_LOW,20000
University of Malakand,Pakistan,853,300+,VERY_LOW,20000
European University Cyprus,Cyprus,854,300+,VERY_LOW,20000
National University of Science and Technology (MISiS),Russian Federation,855,300+,VERY_LOW,20000
University of Rhode Island,United States,856,300+,VERY_LOW,40000
Najran University,Saudi Arabia,857,300+,VERY_LOW,20000
University of Ljubljana,Slovenia,858,300+,VERY_LOW,20000
Reykjavík University,Iceland,859,300+,VERY_LOW,20000
University of Córdoba,Spain,860,300+,VERY_LOW,20000
International University of Rabat,Morocco,861,300+,VERY_LOW,20000
Jeonbuk National University,South Korea,862,300+,VERY_LOW,20000
Norwegian University of Life Sciences,Norway,863,300+,VERY_LOW,20000
Mashhad University of Medical Sciences,Iran,864,300+,VERY_LOW,20000
Chonnam National University,South Korea,865,300+,VERY_LOW,20000
Kaohsiung Medical University,Taiwan,866,300+,VERY_LOW,20000
The Islamia University of Bahawalpur,Pakistan,867,300+,VERY_LOW,20000
Vilnius University,Lithuania,868,300+,VERY_LOW,20000
KL University,India,869,300+,VERY_LOW,20000
National Institute of Technology Silchar,India,870,300+,VERY_LOW,20000
The University of Alabama,United States,871,300+,VERY_LOW,40000
Wenzhou University,China,872,300+,VERY_LOW,20000
SR University,India,873,300+,VERY_LOW,20000
The Catholic University of America,United States,874,300+,VERY_LOW,40000
University of Westminster,United Kingdom,875,300+,VERY_LOW,30000
University of Debrecen,Hungary,876,300+,VERY_LOW,20000
Hacettepe University,Turkey,877,300+,VERY_LOW,20000
Waseda University,Japan,878,300+,VERY_LOW,20000
University of Vigo,Spain,879,300+,VERY_LOW,20000
Inha University,South Korea,880,300+,VERY_LOW,20000
Clark University,United States,881,300+,VERY_LOW,40000
Daffodil International University (DIU),Bangladesh,882,300+,VERY_LOW,20000
University of Salento,Italy,883,300+,VERY_LOW,20000
JSS Academy of Higher Education and Research,India,884,300+,VERY_LOW,20000
Montanuniversität Leoben,Austria,885,300+,VERY_LOW,20000
Shiraz University,Iran,886,300+,VERY_LOW,20000
Arts et Métiers,France,887,300+,VERY_LOW,20000
University of Wyoming,United States,888,300+,VERY_LOW,40000
Catholic University of Portugal,Portugal,889,300+,VERY_LOW,20000
University of Medicine and Pharmacy Carol Davila,Romania,890,300+,VERY_LOW,20000
University of Hagen,Germany,891,300+,VERY_LOW,2000
Mansoura University,Egypt,892,300+,VERY_LOW,20000
Zhejiang Gongshang University,China,893,300+,VERY_LOW,20000
Gorgan University of Agricultural Sciences and Natural Resources,Iran,894,300+,VERY_LOW,20000
The University of Notre Dame Australia,Australia,895,300+,VERY_LOW,28000
Federal University of Minas Gerais,Brazil,896,300+,VERY_LOW,20000
Shri Mata Vaishno Devi University,India,897,300+,VERY_LOW,20000
North-West University,South Africa,898,300+,VERY_LOW,20000
Government College University Lahore,Pakistan,899,300+,VERY_LOW,20000
Universitat Ramon Llull,Spain,900,300+,VERY_LOW,20000
Iqra University,Pakistan,901,300+,VERY_LOW,20000
"International Islamic University, Islamabad",Pakistan,902,300+,VERY_LOW,20000
University of the Punjab,Pakistan,903,300+,VERY_LOW,20000
Ain Shams University,Egypt,904,300+,VERY_LOW,20000
Azerbaijan State University of Economics,Azerbaijan,905,300+,VERY_LOW,20000
Sogang University,South Korea,906,300+,VERY_LOW,20000
Capital University of Science and Technology,Pakistan,907,300+,VERY_LOW,20000
Chengdu University,China,908,300+,VERY_LOW,20000
Siksha ‘O’ Anusandhan,India,909,300+,VERY_LOW,20000
Zanjan University of Medical Sciences,Iran,910,300+,VERY_LOW,20000
Northern Border University,Saudi Arabia,911,300+,VERY_LOW,20000
Carlos III University of Madrid,Spain,912,300+,VERY_LOW,20000
Glasgow Caledonian University,United Kingdom,913,300+,VERY_LOW,30000
An-Najah National University,Palestine,914,300+,VERY_LOW,20000
Open University of Catalonia,Spain,915,300+,VERY_LOW,20000
University of Salamanca,Spain,916,300+,VERY_LOW,20000
Ozyegin University,Turkey,917,300+,VERY_LOW,20000
Abdullah Gül University,Turkey,918,300+,VERY_LOW,20000
Universidade Federal de São Paulo (UNIFESP),Brazil,919,300+,VERY_LOW,20000
Hanoi Medical University,Vietnam,920,300+,VERY_LOW,20000
Bucharest University of Economic Studies,Romania,921,300+,VERY_LOW,20000
University of Nova Gorica,Slovenia,922,300+,VERY_LOW,20000
Makerere University,Uganda,923,300+,VERY_LOW,20000
Ferdowsi University of Mashhad,Iran,924,300+,VERY_LOW,20000
Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,925,300+,VERY_LOW,20000
University of Malta,Malta,926,300+,VERY_LOW,20000
University of Vic – Central University of Catalonia,Spain,927,300+,VERY_LOW,20000
Al-Zaytoonah University of Jordan,Jordan,928,300+,VERY_LOW,20000
Nanjing University of Information Science and Technology,China,929,300+,VERY_LOW,20000
University of Regina,Canada,930,300+,VERY_LOW,25000
University of Dhaka,Bangladesh,931,300+,VERY_LOW,20000
Guangzhou Medical University,China,932,300+,VERY_LOW,20000
Shahrekord University of Medical Sciences,Iran,933,300+,VERY_LOW,20000
University of Petra,Jordan,934,300+,VERY_LOW,20000
Gazipur Agricultural University,Bangladesh,935,300+,VERY_LOW,20000
Aristotle University of Thessaloniki,Greece,936,300+,VERY_LOW,20000
Ilam University of Medical Sciences,Iran,937,300+,VERY_LOW,20000
Zahedan University of Medical Sciences,Iran,938,300+,VERY_LOW,20000
North South University,Bangladesh,939,300+,VERY_LOW,20000
Halmstad University,Sweden,940,300+,VERY_LOW,20000
Jahangirnagar University,Bangladesh,941,300+,VERY_LOW,20000
University of Ibadan,Nigeria,942,300+,VERY_LOW,20000
Eötvös Loránd University,Hungary,943,300+,VERY_LOW,20000
Medical University of Lodz,Poland,944,300+,VERY_LOW,20000
Shahid Beheshti University,Iran,945,300+,VERY_LOW,20000
University of Roehampton,United Kingdom,946,300+,VERY_LOW,30000
Ontario Tech University,Canada,947,300+,VERY_LOW,25000
Florida Atlantic University,United States,948,300+,VERY_LOW,40000
Khwaja Fareed University of Engineering and Information Technology,Pakistan,949,300+,VERY_LOW,20000
Old Dominion University,United States,950,300+,VERY_LOW,40000
University of Lleida,Spain,951,300+,VERY_LOW,20000
Birmingham City University,United Kingdom,952,300+,VERY_LOW,30000
Atatürk University,Turkey,953,300+,VERY_LOW,20000
K.N. Toosi University of Technology,Iran,954,300+,VERY_LOW,20000
University of Central Punjab,Pakistan,955,300+,VERY_LOW,20000
Ural Federal University,Russian Federation,956,300+,VERY_LOW,20000
University of Rome III,Italy,957,300+,VERY_LOW,20000
University of Alcalá,Spain,958,300+,VERY_LOW,20000
Northern Illinois University,United States,959,300+,VERY_LOW,40000
Al al-Bayt University,Jordan,960,300+,VERY_LOW,20000
Baqiyatallah University of Medical Sciences,Iran,961,300+,VERY_LOW,20000
Jamia Hamdard University,India,962,300+,VERY_LOW,20000
Mazandaran University of Medical Sciences,Iran,963,300+,VERY_LOW,20000
Peter the Great St Petersburg Polytechnic University,Russian Federation,964,300+,VERY_LOW,20000
University of Wolverhampton,United Kingdom,965,300+,VERY_LOW,30000
Alagappa University,India,966,300+,VERY_LOW,20000
Tomsk Polytechnic University,Russian Federation,967,300+,VERY_LOW,20000
Innopolis University,Russian Federation,968,300+,VERY_LOW,20000
Savitribai Phule Pune University,India,969,300+,VERY_LOW,20000
Al-Azhar University,Egypt,970,300+,VERY_LOW,20000
The Open University,United Kingdom,971,300+,VERY_LOW,30000
University of Gujrat,Pakistan,972,300+,VERY_LOW,20000
University of Lagos,Nigeria,973,300+,VERY_LOW,20000
Bahçeşehir University,Turkey,974,300+,VERY_LOW,20000
Lahore University of Management Sciences,Pakistan,974,300+,VERY_LOW,20000
Sheffield Hallam University,United Kingdom,976,300+,VERY_LOW,30000
Université de Bretagne Occidentale,France,977,300+,VERY_LOW,20000
Marie and Louis Pasteur University,France,978,300+,VERY_LOW,20000
King Mongkut’s University of Technology Thonburi,Thailand,979,300+,VERY_LOW,20000
Alexandria University,Egypt,980,300+,VERY_LOW,20000
"National Institute of Technology, Tiruchirappalli",India,981,300+,VERY_LOW,20000
Pablo de Olavide University,Spain,982,300+,VERY_LOW,20000
